date,stock_code,report_type,revenue,net_profit,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,gross_profit,operating_profit,eps,bps,roe,roa
2020-03-31,002056.SZ,季报,3304288127.347138,391150000.0,8454825770.137736,4543325770.137736,3911500000.0,3703094966.132154,1369724269.95305,866984492.4920478,439350441.9967258,0.39115,3.9115,10.0,4.626351986832578
2020-06-30,002056.SZ,季报,4790615175.7337885,461500000.0,7721109132.907776,3106109132.907776,4615000000.0,2658368268.167945,1315119766.4577858,1681757662.9706726,575777320.0135293,0.4615,4.615,10.0,5.977120541310089
2020-09-30,002056.SZ,季报,5722496868.118017,534500000.0,10371170216.22887,5026170216.22887,5345000000.0,5128271862.106606,1885378280.4077525,2153877986.9608035,649600289.9126993,0.5345,5.345,10.0,5.153709647572953
2020-12-31,002056.SZ,季报,6122763719.562865,658500000.0,15220884461.623692,8635884461.623692,6585000000.0,6069886811.122168,4230940574.82633,2264009751.956972,805828097.8230654,0.6585,6.585,10.0,4.326292612366064
2021-03-31,002056.SZ,季报,7252011736.723916,656000000.0,13049660113.446932,6489660113.446932,6560000000.0,3957072591.651937,3061618991.028525,2457725693.3452797,767027455.5156348,0.656,6.56,10.0,5.026950850038073
2021-06-30,002056.SZ,季报,6558399930.170616,559750000.0,11182741512.325836,5585241512.325836,5597500000.0,4440131081.446851,2100512207.4705124,1618177203.8226273,640964428.2054901,0.55975,5.5975,10.0,5.005480984989527
2021-09-30,002056.SZ,季报,5687769865.136902,566750000.0,8570566966.3687105,2903066966.3687105,5667500000.0,3388711994.642981,1038710715.5920099,1940020316.773608,702041370.7390162,0.56675,5.6675,10.0,6.612748050671005
2021-12-31,002056.SZ,季报,8232875654.792097,853250000.0000001,21155255729.938736,12622755729.938736,8532500000.000001,8622580120.731186,5562755332.449656,2854305174.2571406,1097671332.2556303,0.8532500000000001,8.5325,10.0,4.033276699144261
2022-03-31,002056.SZ,季报,6461923445.354595,586250000.0,9365295132.321875,3502795132.3218746,5862500000.0,4529265813.610348,1382142701.0565548,2142263506.1384938,739501366.671106,0.58625,5.8625,10.0,6.259813403815871
2022-06-30,002056.SZ,季报,14980234165.656246,1252750000.0,30427019547.72554,17899519547.72554,12527500000.0,11465599268.87719,6657878412.407624,5748229994.316981,1427971991.1997352,1.25275,12.5275,10.0,4.117228761216754
2022-09-30,002056.SZ,季报,9597677795.75467,911250000.0,20099088979.616634,10986588979.616634,9112500000.0,6508515757.94427,3623821494.369219,3622230433.230212,1172343189.6730685,0.91125,9.1125,10.0,4.533787580741288
2022-12-31,002056.SZ,季报,8268946799.532343,858750000.0,13834126116.080252,5246626116.080252,8587500000.0,6285095322.280278,1581176462.0915442,3294572432.957908,955894242.6201633,0.85875,8.5875,10.0,6.207475577382675
2023-03-31,002056.SZ,季报,10351380880.422737,949750000.0,21036768478.013653,11539268478.013653,9497500000.0,6363866620.999051,4258073190.4622602,2790423484.4007254,1184808456.3918834,0.94975,9.4975,10.0,4.514714325028679
2023-06-30,002056.SZ,季报,6902215216.956009,850200000.0000001,19074782587.75844,10572782587.758438,8502000000.000001,9227229214.402294,4371706014.749829,1744100736.1390004,1063639535.67164,0.8502000000000001,8.502,10.0,4.457193659159346
2023-09-30,002056.SZ,季报,7915571539.535196,756700000.0,12235174444.558298,4668174444.558298,7567000000.0,3782642658.982434,1445414659.4464226,2467005284.0517154,977578685.0047827,0.7567,7.567,10.0,6.184627799373543
2023-12-31,002056.SZ,季报,5718747646.184013,616700000.0,13211598053.254929,7044598053.254929,6167000000.0,6248323494.374295,2341990723.4003778,1396292133.327087,791216898.1430923,0.6167,6.167,10.0,4.667868319291353
2024-03-31,002056.SZ,季报,6642913666.861771,665200000.0,11753791486.322416,5101791486.322416,6652000000.0,5216862916.160282,2312727387.4018483,2587741893.7692537,782034852.1607205,0.6652,6.652,10.0,5.659450406058982
2024-06-30,002056.SZ,季报,5552919465.258794,582550000.0,14503126914.068125,8677626914.068125,5825500000.0,6147230727.198764,3729162318.037473,1143611244.5034182,669560698.6647011,0.58255,5.8255,10.0,4.016720004255929
2024-09-30,002056.SZ,季报,7658435263.942918,668550000.0,12804052157.144278,6118552157.144278,6685500000.0,6225451629.687663,2582709248.5518103,2099685511.4471235,751058191.0647441,0.66855,6.6855,10.0,5.22139391338678
2024-12-31,002056.SZ,季报,6125344044.996755,607050000.0,11842036085.601748,5771536085.6017475,6070500000.0,4126868712.0114617,2797675727.2949653,1844583137.2223136,725804622.1917512,0.60705,6.0705,10.0,5.126229945693947
2025-03-31,002056.SZ,季报,8579744121.420883,725050000.0,17241803479.932636,9991303479.932636,7250500000.0,8557927756.5174055,3891198804.678982,3271592703.2201114,812410868.4751077,0.72505,7.2505,10.0,4.205186544689887
2025-06-30,002056.SZ,季报,6937234200.046634,688800000.0,12926132871.10451,6038132871.104509,6888000000.0,4390168239.739038,2365855743.857698,2523809145.8784156,883434796.1439499,0.6888,6.888,10.0,5.328739901318557
2025-09-30,002056.SZ,季报,11154000762.94382,1024500000.0,23748028965.419247,13503028965.419247,10245000000.0,10899382679.589884,5784139302.375394,2929942115.6572275,1172970740.8175092,1.0245,10.245,10.0,4.31404223690239
2025-12-31,002056.SZ,季报,9198395327.725933,975000000.0,20858784012.169483,11108784012.169483,9750000000.0,8609910321.838541,5464975397.741572,2337710546.0369678,1216941728.3152924,0.975,9.75,10.0,4.674289735351605
