date,stock_code,report_type,revenue,net_profit,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,gross_profit,operating_profit,eps,bps,roe,roa
2020-03-31,600395.SH,季报,1748212978.3621352,170000000.0,3811936794.2666974,2111936794.2666974,1700000000.0,1372778930.8266973,931707366.7584323,410036300.2576464,192267435.50192404,0.17,1.7,10.0,4.45967520384091
2020-06-30,600395.SH,季报,1405841562.0258956,171000000.0,2999276716.0530295,1289276716.0530295,1710000000.0,1111606239.0321088,405779221.74582815,400990083.14791095,191635816.33682883,0.171,1.71,10.0,5.701374570900933
2020-09-30,600395.SH,季报,2311171337.912629,218000000.0,3689391050.8576283,1509391050.8576283,2180000000.0,1824711105.5105274,580661959.374752,501269350.5381966,254394568.80156532,0.218,2.18,10.0,5.9088341949906384
2020-12-31,600395.SH,季报,2772688807.7513976,317000000.0,6527701480.007057,3357701480.007057,3170000000.0,2949147191.5810966,1448303602.3597078,957648381.8456409,388752292.0068169,0.317,3.17,10.0,4.8562269731681615
2021-03-31,600395.SH,季报,2378903927.9283414,264000000.0,4605518140.146269,1965518140.1462688,2640000000.0,1477330214.8136017,738089820.212983,912812631.1207477,335846513.9515423,0.264,2.64,10.0,5.732254047567718
2021-06-30,600395.SH,季报,2458767256.528197,278500000.0,5772998596.24706,2987998596.24706,2785000000.0,2869990561.5828824,1018255224.7696766,523548507.3963571,361259316.62179214,0.2785,2.785,10.0,4.824182707770771
2021-09-30,600395.SH,季报,3948850560.347623,415500000.00000006,7749707746.544913,3594707746.544913,4155000000.0000005,2357719468.221353,1734015374.9599512,1017808906.6605425,511404108.84724104,0.41550000000000004,4.155,10.0,5.361492505123748
2021-12-31,600395.SH,季报,3236101318.859183,307000000.0,6103741078.271729,3033741078.2717295,3070000000.0,2057793780.6315548,1222466431.2794979,968320612.415354,396516972.2844842,0.307,3.07,10.0,5.029702211531667
2022-03-31,600395.SH,季报,3683054444.7757497,374000000.0,6692312878.571015,2952312878.5710154,3740000000.0,2969329105.3391356,926987445.8924992,1319814020.6901271,413327959.42973655,0.374,3.74,10.0,5.588501416267597
2022-06-30,600395.SH,季报,3236075033.280049,382000000.0,7617508810.211001,3797508810.2110014,3820000000.0,2833551848.7430677,1307389171.4510083,1141437118.4738512,483200662.3718561,0.382,3.82,10.0,5.014762824926996
2022-09-30,600395.SH,季报,3786396926.5953918,387500000.0,9506234527.50786,5631234527.50786,3875000000.0,2853762479.9641614,2225122137.5262284,1102318768.8788683,431318976.391294,0.3875,3.875,10.0,4.076272249319167
2022-12-31,600395.SH,季报,3366755708.5632124,299500000.0,6162613041.699508,3167613041.6995077,2995000000.0,1907229546.041096,1249302957.4140015,820746445.9086982,359326562.85750514,0.2995,2.995,10.0,4.859951419526492
2023-03-31,600395.SH,季报,2894270562.5269656,325000000.0,5311471098.055901,2061471098.0559006,3250000000.0,2016949184.5300384,678107046.1597078,877315193.828607,405384364.7830246,0.325,3.25,10.0,6.118832127674689
2023-06-30,600395.SH,季报,2660192984.652572,311000000.0,7635634599.824417,4525634599.824417,3110000000.0,3555522314.7286158,1479903805.6139219,1012060218.5505443,347432270.8817577,0.311,3.11,10.0,4.073007893897273
2023-09-30,600395.SH,季报,2985671693.376221,292500000.0,4852474851.647017,1927474851.6470165,2925000000.0,1738184255.886015,830585532.3962516,881614171.9622762,376832013.57261527,0.2925,2.925,10.0,6.027851950654011
2023-12-31,600395.SH,季报,2706214324.4980607,292500000.0,7009321227.264797,4084321227.264797,2925000000.0,3353334688.619222,1353038924.6194704,892938948.760391,355478402.8739503,0.2925,2.925,10.0,4.1730146260416205
2024-03-31,600395.SH,季报,2389005266.4132886,289000000.0,4942254331.653643,2052254331.6536427,2890000000.0,1808293256.4323828,932234354.5414778,502491742.2705648,328350919.27489877,0.289,2.89,10.0,5.847533951238456
2024-06-30,600395.SH,季报,3155213710.7421503,284500000.0,4866822325.200403,2021822325.2004032,2845000000.0,1603681694.763591,982352431.9163336,1176444429.275348,367219454.5846349,0.2845,2.845,10.0,5.845703438296056
2024-09-30,600395.SH,季报,2369334583.0459075,291500000.0,6240799771.368041,3325799771.368041,2915000000.0,2187920436.1094704,1240787409.270388,901122321.6821543,358254638.2942436,0.2915,2.915,10.0,4.67087569989608
2024-12-31,600395.SH,季报,2635782243.026043,252500000.0,5146893228.533297,2621893228.5332966,2525000000.0,1749026752.4799807,844362815.9270935,612160109.8990208,294066896.80365634,0.2525,2.525,10.0,4.905872121072824
2025-03-31,600395.SH,季报,2124949385.379841,240000000.0,5467648179.583326,3067648179.5833263,2400000000.0,2597855827.2519617,931162552.7580873,845445415.5012523,296059080.3148391,0.24,2.4,10.0,4.389455797397149
2025-06-30,600395.SH,季报,2491353338.474372,234500000.0,3634135415.2294364,1289135415.2294364,2345000000.0,1497863292.2486277,405658319.09984833,594574535.1621059,297013292.54434186,0.2345,2.345,10.0,6.452703964120037
2025-09-30,600395.SH,季报,2903617019.323427,269500000.0,4870462411.86973,2175462411.86973,2695000000.0,1623356231.5797246,665526505.6471678,1035991277.1594049,297881503.6053399,0.2695,2.695,10.0,5.533355505284378
2025-12-31,600395.SH,季报,2670865461.674275,233000000.0,5702315688.277572,3372315688.2775717,2330000000.0,1716300824.779817,1529382093.1151266,918975525.7838136,272332859.139465,0.233,2.33,10.0,4.086059291297838
