stock_code,industry,industry_code,update_date
600298.SH,其他,Z99,2026-03-01
000006.SZ,其他,Z99,2026-03-01
002081.SZ,其他,Z99,2026-03-01
002164.SZ,其他,Z99,2026-03-01
601966.SH,其他,Z99,2026-03-01
600086.SH,其他,Z99,2026-03-01
002191.SZ,其他,Z99,2026-03-01
002109.SZ,其他,Z99,2026-03-01
000882.SZ,其他,Z99,2026-03-01
300026.SZ,其他,Z99,2026-03-01
300735.SZ,其他,Z99,2026-03-01
000753.SZ,其他,Z99,2026-03-01
600068.SH,其他,Z99,2026-03-01
002228.SZ,其他,Z99,2026-03-01
600343.SH,其他,Z99,2026-03-01
002192.SZ,其他,Z99,2026-03-01
002289.SZ,其他,Z99,2026-03-01
600377.SH,交通运输,G53,2026-03-01
600059.SH,其他,Z99,2026-03-01
300339.SZ,其他,Z99,2026-03-01
002046.SZ,其他,Z99,2026-03-01
601118.SH,其他,Z99,2026-03-01
000718.SZ,其他,Z99,2026-03-01
600808.SH,其他,Z99,2026-03-01
003031.SZ,其他,Z99,2026-03-01
002271.SZ,其他,Z99,2026-03-01
300679.SZ,其他,Z99,2026-03-01
002131.SZ,其他,Z99,2026-03-01
001213.SZ,其他,Z99,2026-03-01
002274.SZ,其他,Z99,2026-03-01
002223.SZ,其他,Z99,2026-03-01
002008.SZ,其他,Z99,2026-03-01
300008.SZ,其他,Z99,2026-03-01
002059.SZ,其他,Z99,2026-03-01
603816.SH,其他,Z99,2026-03-01
600280.SH,其他,Z99,2026-03-01
002092.SZ,其他,Z99,2026-03-01
002186.SZ,其他,Z99,2026-03-01
600221.SH,其他,Z99,2026-03-01
688248.SH,其他,Z99,2026-03-01
600373.SH,其他,Z99,2026-03-01
600226.SH,其他,Z99,2026-03-01
603179.SH,其他,Z99,2026-03-01
300718.SZ,其他,Z99,2026-03-01
600278.SH,其他,Z99,2026-03-01
300346.SZ,其他,Z99,2026-03-01
600070.SH,其他,Z99,2026-03-01
603379.SH,其他,Z99,2026-03-01
002162.SZ,其他,Z99,2026-03-01
600118.SH,其他,Z99,2026-03-01
002023.SZ,其他,Z99,2026-03-01
600225.SH,其他,Z99,2026-03-01
600109.SH,其他,Z99,2026-03-01
000919.SZ,其他,Z99,2026-03-01
600350.SH,其他,Z99,2026-03-01
002037.SZ,其他,Z99,2026-03-01
002246.SZ,其他,Z99,2026-03-01
300010.SZ,其他,Z99,2026-03-01
300038.SZ,其他,Z99,2026-03-01
300051.SZ,其他,Z99,2026-03-01
002165.SZ,其他,Z99,2026-03-01
603087.SH,其他,Z99,2026-03-01
600171.SH,其他,Z99,2026-03-01
002423.SZ,其他,Z99,2026-03-01
300093.SZ,其他,Z99,2026-03-01
600598.SH,其他,Z99,2026-03-01
600317.SH,其他,Z99,2026-03-01
600516.SH,其他,Z99,2026-03-01
603568.SH,其他,Z99,2026-03-01
000803.SZ,其他,Z99,2026-03-01
600487.SH,其他,Z99,2026-03-01
002275.SZ,其他,Z99,2026-03-01
000863.SZ,其他,Z99,2026-03-01
300458.SZ,其他,Z99,2026-03-01
002568.SZ,其他,Z99,2026-03-01
300022.SZ,其他,Z99,2026-03-01
300063.SZ,其他,Z99,2026-03-01
300474.SZ,其他,Z99,2026-03-01
002125.SZ,其他,Z99,2026-03-01
