date,open,close,low,high,volume,change_pct,amount,stock_code,code,trade_date,preclose,pctChg,turn,tradestatus,adjustflag,peTTM,pbMRQ,psTTM,pcfNcfTTM
2020-01-02,9.2,9.24,9.3,9.16,73605.0,,680110.2000000001,600343.SH,600343,2020-01-02,,,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-03,9.25,9.44,9.55,9.24,130065.0,2.1645021645021467,1227813.5999999999,600343.SH,600343,2020-01-03,9.24,2.1645021645021467,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-06,9.5,9.58,9.68,9.43,144709.0,1.4830508474576343,1386312.22,600343.SH,600343,2020-01-06,9.44,1.4830508474576343,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-07,9.55,9.49,9.56,9.4,97338.0,-0.9394572025052228,923737.62,600343.SH,600343,2020-01-07,9.58,-0.9394572025052228,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-08,9.52,9.74,9.83,9.47,160906.0,2.6343519494204326,1567224.44,600343.SH,600343,2020-01-08,9.49,2.6343519494204326,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-09,9.5,9.51,9.54,9.41,109272.0,-2.361396303901442,1039176.72,600343.SH,600343,2020-01-09,9.74,-2.361396303901442,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-10,9.5,9.32,9.51,9.28,76924.0,-1.9978969505783373,716931.68,600343.SH,600343,2020-01-10,9.51,-1.9978969505783373,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-13,9.34,9.32,9.38,9.2,52501.0,0.0,489309.32,600343.SH,600343,2020-01-13,9.32,0.0,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-14,9.33,9.32,9.39,9.3,48588.0,0.0,452840.16000000003,600343.SH,600343,2020-01-14,9.32,0.0,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-15,9.32,9.2,9.36,9.18,40367.0,-1.2875536480686844,371376.39999999997,600343.SH,600343,2020-01-15,9.32,-1.2875536480686844,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-16,9.2,9.26,9.39,9.2,57392.0,0.6521739130434856,531449.92,600343.SH,600343,2020-01-16,9.2,0.6521739130434856,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-17,9.26,9.26,9.3,9.17,48266.0,0.0,446943.16,600343.SH,600343,2020-01-17,9.26,0.0,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-20,9.3,9.58,9.65,9.27,135483.0,3.455723542116629,1297927.14,600343.SH,600343,2020-01-20,9.26,3.455723542116629,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-21,9.63,9.33,9.64,9.28,85662.0,-2.609603340292277,799226.46,600343.SH,600343,2020-01-21,9.58,-2.609603340292277,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-22,8.59,8.85,8.96,8.53,142591.0,-5.1446945337620615,1261930.3499999999,600343.SH,600343,2020-01-22,9.33,-5.1446945337620615,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-23,8.75,8.61,8.88,8.55,79541.0,-2.7118644067796627,684848.01,600343.SH,600343,2020-01-23,8.85,-2.7118644067796627,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-03,7.75,7.75,7.75,7.75,16358.0,-9.988385598141692,126774.5,600343.SH,600343,2020-02-03,8.61,-9.988385598141692,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-04,6.98,7.37,7.55,6.98,121260.0,-4.9032258064516165,893686.2000000001,600343.SH,600343,2020-02-04,7.75,-4.9032258064516165,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-05,7.37,7.65,7.83,7.3,91059.0,3.7991858887381325,696601.35,600343.SH,600343,2020-02-05,7.37,3.7991858887381325,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-06,7.66,8.19,8.34,7.56,130839.0,7.058823529411762,1071571.41,600343.SH,600343,2020-02-06,7.65,7.058823529411762,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-07,8.15,8.21,8.37,8.01,105841.0,0.24420024420026554,868954.6100000001,600343.SH,600343,2020-02-07,8.19,0.24420024420026554,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-10,8.22,8.12,8.24,8.07,60847.0,-1.0962241169305886,494077.63999999996,600343.SH,600343,2020-02-10,8.21,-1.0962241169305886,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-11,8.12,7.91,8.14,7.87,84137.0,-2.5862068965517127,665523.67,600343.SH,600343,2020-02-11,8.12,-2.5862068965517127,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-12,7.96,8.03,8.04,7.86,40562.0,1.5170670037926604,325712.86,600343.SH,600343,2020-02-12,7.91,1.5170670037926604,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-13,8.06,7.91,8.18,7.9,52766.0,-1.494396014943955,417379.06,600343.SH,600343,2020-02-13,8.03,-1.494396014943955,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-14,7.9,7.88,7.96,7.83,43296.0,-0.37926675094817064,341172.48,600343.SH,600343,2020-02-14,7.91,-0.37926675094817064,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-17,8.0,8.67,8.67,8.0,194759.0,10.025380710659903,1688560.53,600343.SH,600343,2020-02-17,7.88,10.025380710659903,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-18,9.0,9.48,9.54,8.98,486744.0,9.342560553633227,4614333.12,600343.SH,600343,2020-02-18,8.67,9.342560553633227,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-19,9.01,9.06,9.48,8.91,336786.0,-4.430379746835444,3051281.16,600343.SH,600343,2020-02-19,9.48,-4.430379746835444,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-20,8.88,9.0,9.06,8.8,190708.0,-0.6622516556291425,1716372.0,600343.SH,600343,2020-02-20,9.06,-0.6622516556291425,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-21,8.84,9.3,9.48,8.84,259832.0,3.3333333333333437,2416437.6,600343.SH,600343,2020-02-21,9.0,3.3333333333333437,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-24,9.21,9.25,9.33,8.98,188511.0,-0.5376344086021612,1743726.75,600343.SH,600343,2020-02-24,9.3,-0.5376344086021612,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-25,9.0,9.14,9.14,8.73,171842.0,-1.1891891891891881,1570635.8800000001,600343.SH,600343,2020-02-25,9.25,-1.1891891891891881,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-26,9.05,9.16,9.29,8.95,156229.0,0.2188183807439792,1431057.6400000001,600343.SH,600343,2020-02-26,9.14,0.2188183807439792,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-27,9.1,9.55,9.89,9.1,273657.0,4.257641921397393,2613424.35,600343.SH,600343,2020-02-27,9.16,4.257641921397393,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-28,9.14,8.65,9.31,8.6,245132.0,-9.424083769633507,2120391.8000000003,600343.SH,600343,2020-02-28,9.55,-9.424083769633507,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-02,8.65,8.93,9.04,8.6,131062.0,3.2369942196531776,1170383.66,600343.SH,600343,2020-03-02,8.65,3.2369942196531776,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-03,9.08,9.44,9.5,8.93,248805.0,5.711086226203799,2348719.1999999997,600343.SH,600343,2020-03-03,8.93,5.711086226203799,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-04,9.32,9.72,10.01,9.24,319813.0,2.9661016949152685,3108582.3600000003,600343.SH,600343,2020-03-04,9.44,2.9661016949152685,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-05,9.81,9.69,10.03,9.5,271750.0,-0.30864197530865445,2633257.5,600343.SH,600343,2020-03-05,9.72,-0.30864197530865445,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-06,9.5,9.52,9.75,9.43,160631.0,-1.754385964912275,1529207.1199999999,600343.SH,600343,2020-03-06,9.69,-1.754385964912275,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-09,9.33,9.0,9.44,8.99,181171.0,-5.462184873949571,1630539.0,600343.SH,600343,2020-03-09,9.52,-5.462184873949571,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-10,8.74,9.19,9.21,8.67,147041.0,2.111111111111108,1351306.79,600343.SH,600343,2020-03-10,9.0,2.111111111111108,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-11,9.19,9.38,9.66,9.14,210772.0,2.0674646354733595,1977041.36,600343.SH,600343,2020-03-11,9.19,2.0674646354733595,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-12,9.19,9.19,9.52,9.05,132215.0,-2.025586353944575,1215055.8499999999,600343.SH,600343,2020-03-12,9.38,-2.025586353944575,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-13,8.85,9.32,9.33,8.78,162755.0,1.414581066376508,1516876.6,600343.SH,600343,2020-03-13,9.19,1.414581066376508,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-16,9.45,8.89,9.45,8.84,140869.0,-4.613733905579398,1252325.4100000001,600343.SH,600343,2020-03-16,9.32,-4.613733905579398,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-17,8.9,8.56,9.1,8.29,117733.0,-3.712035995500562,1007794.4800000001,600343.SH,600343,2020-03-17,8.89,-3.712035995500562,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-18,8.65,8.25,8.66,8.21,87491.0,-3.6214953271028083,721800.75,600343.SH,600343,2020-03-18,8.56,-3.6214953271028083,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-19,8.18,8.2,8.35,8.08,76265.0,-0.60606060606061,625373.0,600343.SH,600343,2020-03-19,8.25,-0.60606060606061,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-20,8.35,8.28,8.35,8.13,48875.0,0.9756097560975618,404684.99999999994,600343.SH,600343,2020-03-20,8.2,0.9756097560975618,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-23,8.1,8.15,8.24,8.01,51212.0,-1.5700483091787287,417377.80000000005,600343.SH,600343,2020-03-23,8.28,-1.5700483091787287,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-24,8.22,8.25,8.34,8.07,54318.0,1.2269938650306678,448123.5,600343.SH,600343,2020-03-24,8.15,1.2269938650306678,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-25,8.39,8.34,8.43,8.28,57801.0,1.090909090909098,482060.33999999997,600343.SH,600343,2020-03-25,8.25,1.090909090909098,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-26,8.38,8.35,8.5,8.32,49007.0,0.11990407673860837,409208.45,600343.SH,600343,2020-03-26,8.34,0.11990407673860837,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-27,8.47,8.2,8.47,8.19,44897.0,-1.7964071856287456,368155.39999999997,600343.SH,600343,2020-03-27,8.35,-1.7964071856287456,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-30,8.05,8.05,8.18,7.83,62613.0,-1.8292682926829062,504034.65,600343.SH,600343,2020-03-30,8.2,-1.8292682926829062,0.0,1,3,0.0,0.0,0.0,0.0
2020-03-31,8.11,8.0,8.15,7.95,34824.0,-0.6211180124223725,278592.0,600343.SH,600343,2020-03-31,8.05,-0.6211180124223725,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-01,8.0,7.91,8.04,7.88,36528.0,-1.1249999999999982,288936.48,600343.SH,600343,2020-04-01,8.0,-1.1249999999999982,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-02,7.83,8.05,8.05,7.82,29962.0,1.7699115044247815,241194.10000000003,600343.SH,600343,2020-04-02,7.91,1.7699115044247815,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-03,8.05,8.01,8.12,7.99,35655.0,-0.496894409937898,285596.55,600343.SH,600343,2020-04-03,8.05,-0.496894409937898,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-07,8.14,8.34,8.4,8.12,66346.0,4.119850187265928,553325.64,600343.SH,600343,2020-04-07,8.01,4.119850187265928,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-08,8.25,8.68,8.75,8.24,133878.0,4.076738609112707,1162061.04,600343.SH,600343,2020-04-08,8.34,4.076738609112707,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-09,8.88,8.58,8.92,8.56,92461.0,-1.1520737327188946,793315.38,600343.SH,600343,2020-04-09,8.68,-1.1520737327188946,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-10,8.6,8.31,8.6,8.3,73784.0,-3.1468531468531458,613145.04,600343.SH,600343,2020-04-10,8.58,-3.1468531468531458,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-13,8.27,8.33,8.43,8.11,43767.0,0.24067388688326918,364579.11,600343.SH,600343,2020-04-13,8.31,0.24067388688326918,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-14,8.36,8.42,8.42,8.25,52076.0,1.0804321728691502,438479.92,600343.SH,600343,2020-04-14,8.33,1.0804321728691502,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-15,8.45,8.31,8.46,8.3,44376.0,-1.306413301662701,368764.56,600343.SH,600343,2020-04-15,8.42,-1.306413301662701,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-16,8.32,8.33,8.42,8.2,38686.0,0.24067388688326918,322254.38,600343.SH,600343,2020-04-16,8.31,0.24067388688326918,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-17,8.35,8.28,8.38,8.24,45452.0,-0.6002400960384291,376342.56,600343.SH,600343,2020-04-17,8.33,-0.6002400960384291,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-20,8.3,8.4,8.42,8.21,46487.0,1.449275362318847,390490.8,600343.SH,600343,2020-04-20,8.28,1.449275362318847,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-21,8.4,8.4,8.49,8.28,59778.0,0.0,502135.2,600343.SH,600343,2020-04-21,8.4,0.0,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-22,8.32,8.39,8.42,8.21,51532.0,-0.11904761904761862,432353.48000000004,600343.SH,600343,2020-04-22,8.4,-0.11904761904761862,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-23,8.48,8.82,9.23,8.4,244943.0,5.125148986889161,2160397.2600000002,600343.SH,600343,2020-04-23,8.39,5.125148986889161,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-24,8.79,8.57,8.82,8.41,154975.0,-2.8344671201814053,1328135.75,600343.SH,600343,2020-04-24,8.82,-2.8344671201814053,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-27,8.4,8.23,8.51,8.23,86848.0,-3.967327887981331,714759.04,600343.SH,600343,2020-04-27,8.57,-3.967327887981331,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-28,8.13,7.92,8.23,7.58,98597.0,-3.76670716889429,780888.24,600343.SH,600343,2020-04-28,8.23,-3.76670716889429,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-29,7.89,7.89,8.0,7.82,38679.0,-0.37878787878787845,305177.31,600343.SH,600343,2020-04-29,7.92,-0.37878787878787845,0.0,1,3,0.0,0.0,0.0,0.0
2020-04-30,7.94,8.03,8.06,7.92,41395.0,1.7743979721166037,332401.85,600343.SH,600343,2020-04-30,7.89,1.7743979721166037,0.0,1,3,0.0,0.0,0.0,0.0
2020-05-06,8.1,8.16,8.24,8.05,45006.0,1.6189290161892966,367248.96,600343.SH,600343,2020-05-06,8.03,1.6189290161892966,0.0,1,3,0.0,0.0,0.0,0.0
2020-05-07,8.14,8.09,8.17,8.05,46327.0,-0.85784313725491,374785.43,600343.SH,600343,2020-05-07,8.16,-0.85784313725491,0.0,1,3,0.0,0.0,0.0,0.0
2020-05-08,8.11,8.22,8.26,8.07,55544.0,1.6069221260816002,456571.68000000005,600343.SH,600343,2020-05-08,8.09,1.6069221260816002,0.0,1,3,0.0,0.0,0.0,0.0
2020-05-11,8.3,8.2,8.3,8.15,38624.0,-0.24330900243311193,316716.8,600343.SH,600343,2020-05-11,8.22,-0.24330900243311193,0.0,1,3,0.0,0.0,0.0,0.0
2020-05-12,8.31,8.3,8.49,8.24,75032.0,1.2195121951219745,622765.6000000001,600343.SH,600343,2020-05-12,8.2,1.2195121951219745,0.0,1,3,0.0,0.0,0.0,0.0
2020-05-13,8.24,8.2,8.27,8.16,42512.0,-1.2048192771084487,348598.39999999997,600343.SH,600343,2020-05-13,8.3,-1.2048192771084487,0.0,1,3,0.0,0.0,0.0,0.0
2020-05-14,8.13,8.21,8.32,8.1,44688.0,0.12195121951221743,366888.48000000004,600343.SH,600343,2020-05-14,8.2,0.12195121951221743,0.0,1,3,0.0,0.0,0.0,0.0
2020-05-15,8.19,8.2,8.29,8.19,31120.0,-0.12180267965896663,255183.99999999997,600343.SH,600343,2020-05-15,8.21,-0.12180267965896663,0.0,1,3,0.0,0.0,0.0,0.0
2020-05-18,8.23,8.34,8.47,8.17,85782.0,1.7073170731707332,715421.88,600343.SH,600343,2020-05-18,8.2,1.7073170731707332,0.0,1,3,0.0,0.0,0.0,0.0
2020-05-19,8.35,8.35,8.39,8.28,46498.0,0.11990407673860837,388258.3,600343.SH,600343,2020-05-19,8.34,0.11990407673860837,0.0,1,3,0.0,0.0,0.0,0.0
2020-05-20,8.31,8.07,8.34,8.05,65821.0,-3.3532934131736414,531175.47,600343.SH,600343,2020-05-20,8.35,-3.3532934131736414,0.0,1,3,0.0,0.0,0.0,0.0
