date,open,close,low,high,volume,change_pct,amount,stock_code,code,trade_date,preclose,pctChg,turn,tradestatus,adjustflag,peTTM,pbMRQ,psTTM,pcfNcfTTM
2020-01-02,3.5,3.61,3.7,3.43,78917.0,,284890.37,600289.SH,600289,2020-01-02,,,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-03,3.61,3.71,3.79,3.61,64025.0,2.7700831024930705,237532.75,600289.SH,600289,2020-01-03,3.61,2.7700831024930705,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-06,3.52,3.55,3.6,3.52,74696.0,-4.312668463611868,265170.8,600289.SH,600289,2020-01-06,3.71,-4.312668463611868,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-07,3.73,3.73,3.73,3.68,125439.0,5.070422535211283,467887.47,600289.SH,600289,2020-01-07,3.55,5.070422535211283,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-08,3.73,3.73,3.75,3.56,97292.0,0.0,362899.16,600289.SH,600289,2020-01-08,3.73,0.0,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-09,3.7,3.73,3.8,3.66,51261.0,0.0,191203.53,600289.SH,600289,2020-01-09,3.73,0.0,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-10,3.77,3.7,3.86,3.54,68034.0,-0.8042895442359144,251725.8,600289.SH,600289,2020-01-10,3.73,-0.8042895442359144,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-13,3.58,3.64,3.71,3.58,35487.0,-1.6216216216216273,129172.68,600289.SH,600289,2020-01-13,3.7,-1.6216216216216273,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-14,3.6,3.75,3.75,3.6,39688.0,3.0219780219780112,148830.0,600289.SH,600289,2020-01-14,3.64,3.0219780219780112,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-15,3.73,3.74,3.92,3.71,60910.0,-0.2666666666666595,227803.4,600289.SH,600289,2020-01-15,3.75,-0.2666666666666595,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-16,3.8,3.93,3.93,3.77,104258.0,5.080213903743314,409733.94,600289.SH,600289,2020-01-16,3.74,5.080213903743314,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-17,3.97,3.9,4.03,3.83,78286.0,-0.7633587786259555,305315.4,600289.SH,600289,2020-01-17,3.93,-0.7633587786259555,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-20,4.09,3.86,4.09,3.75,92597.0,-1.025641025641022,357424.42,600289.SH,600289,2020-01-20,3.9,-1.025641025641022,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-21,3.81,3.77,3.98,3.77,71539.0,-2.331606217616577,269702.03,600289.SH,600289,2020-01-21,3.86,-2.331606217616577,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-22,3.81,3.58,3.82,3.58,79879.0,-5.03978779840849,285966.82,600289.SH,600289,2020-01-22,3.77,-5.03978779840849,0.0,1,3,0.0,0.0,0.0,0.0
2020-01-23,3.5,3.4,3.56,3.4,72136.0,-5.027932960893855,245262.4,600289.SH,600289,2020-01-23,3.58,-5.027932960893855,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-03,3.23,3.23,3.23,3.23,2358.0,-4.999999999999993,7616.34,600289.SH,600289,2020-02-03,3.4,-4.999999999999993,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-04,3.07,3.07,3.1,3.07,64546.0,-4.95356037151703,198156.22,600289.SH,600289,2020-02-04,3.23,-4.95356037151703,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-05,3.08,3.13,3.18,3.08,55885.0,1.954397394136809,174920.05,600289.SH,600289,2020-02-05,3.07,1.954397394136809,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-06,3.11,3.05,3.14,3.01,48019.0,-2.5559105431309903,146457.94999999998,600289.SH,600289,2020-02-06,3.13,-2.5559105431309903,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-07,3.05,3.09,3.12,3.02,36146.0,1.3114754098360717,111691.14,600289.SH,600289,2020-02-07,3.05,1.3114754098360717,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-10,3.06,3.24,3.24,3.03,51713.0,4.854368932038855,167550.12000000002,600289.SH,600289,2020-02-10,3.09,4.854368932038855,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-11,3.39,3.4,3.4,3.33,19326.0,4.938271604938271,65708.4,600289.SH,600289,2020-02-11,3.24,4.938271604938271,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-12,3.57,3.48,3.57,3.42,93041.0,2.35294117647058,323782.68,600289.SH,600289,2020-02-12,3.4,2.35294117647058,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-13,3.42,3.43,3.54,3.41,36856.0,-1.4367816091953922,126416.08,600289.SH,600289,2020-02-13,3.48,-1.4367816091953922,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-14,3.45,3.26,3.45,3.26,76473.0,-4.956268221574356,249301.98,600289.SH,600289,2020-02-14,3.43,-4.956268221574356,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-17,3.2,3.35,3.36,3.2,36940.0,2.7607361963190247,123749.0,600289.SH,600289,2020-02-17,3.26,2.7607361963190247,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-18,3.37,3.27,3.37,3.18,61437.0,-2.38805970149254,200898.99,600289.SH,600289,2020-02-18,3.35,-2.38805970149254,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-19,3.23,3.29,3.36,3.19,45544.0,0.6116207951070374,149839.76,600289.SH,600289,2020-02-19,3.27,0.6116207951070374,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-20,3.26,3.26,3.28,3.19,55580.0,-0.911854103343468,181190.8,600289.SH,600289,2020-02-20,3.29,-0.911854103343468,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-21,3.23,3.15,3.26,3.12,68191.0,-3.3742331288343475,214801.65,600289.SH,600289,2020-02-21,3.26,-3.3742331288343475,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-24,3.31,3.31,3.31,3.31,17903.0,5.079365079365084,59258.93,600289.SH,600289,2020-02-24,3.15,5.079365079365084,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-25,3.48,3.48,3.48,3.3,139624.0,5.1359516616314105,485891.52,600289.SH,600289,2020-02-25,3.31,5.1359516616314105,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-26,3.5,3.65,3.65,3.44,96165.0,4.885057471264376,351002.25,600289.SH,600289,2020-02-26,3.48,4.885057471264376,0.0,1,3,0.0,0.0,0.0,0.0
2020-02-28,3.47,3.83,3.83,3.47,172477.0,4.93150684931507,660586.91,600289.SH,600289,2020-02-28,3.65,4.93150684931507,0.0,1,3,0.0,0.0,0.0,0.0
