date,open,high,low,close,volume,amount,code,name,type
2025-01-02,5.899,5.909,5.891,5.904,24737800,145933161,518800,黄金ETF,gold
2025-01-03,5.949,5.962,5.941,5.956,37695000,224242354,518800,黄金ETF,gold
2025-01-06,5.95,5.952,5.916,5.924,23981856,142320147,518800,黄金ETF,gold
2025-01-07,5.924,5.937,5.918,5.931,18792300,111438850,518800,黄金ETF,gold
2025-01-08,5.943,5.962,5.938,5.96,21121300,125673513,518800,黄金ETF,gold
2025-01-09,5.963,5.992,5.96,5.991,22854900,136513047,518800,黄金ETF,gold
2025-01-10,6.004,6.033,6.001,6.032,34947400,210326624,518800,黄金ETF,gold
2025-01-13,6.032,6.055,6.023,6.045,38700300,233949309,518800,黄金ETF,gold
2025-01-14,5.994,6.004,5.99,5.996,49398800,296154249,518800,黄金ETF,gold
2025-01-15,6.001,6.034,5.998,6.029,37819700,227631570,518800,黄金ETF,gold
2025-01-16,6.06,6.065,6.037,6.047,31428900,190148663,518800,黄金ETF,gold
2025-01-17,6.069,6.086,6.062,6.063,32468100,197274718,518800,黄金ETF,gold
2025-01-20,6.028,6.059,6.016,6.056,31367060,189219528,518800,黄金ETF,gold
2025-01-21,6.028,6.059,6.028,6.056,26040800,157545306,518800,黄金ETF,gold
2025-01-22,6.11,6.142,6.098,6.11,36137800,220928126,518800,黄金ETF,gold
2025-01-23,6.111,6.128,6.107,6.113,29599800,180979499,518800,黄金ETF,gold
2025-01-24,6.135,6.151,6.125,6.139,40955700,251504563,518800,黄金ETF,gold
2025-01-27,6.14,6.142,6.107,6.13,26372700,161454433,518800,黄金ETF,gold
2025-02-05,6.323,6.365,6.31,6.359,38098500,241463366,518800,黄金ETF,gold
2025-02-06,6.363,6.388,6.323,6.325,31484900,200216499,518800,黄金ETF,gold
2025-02-07,6.345,6.359,6.338,6.343,28128710,178652534,518800,黄金ETF,gold
2025-02-10,6.381,6.439,6.381,6.439,42833690,274391091,518800,黄金ETF,gold
2025-02-11,6.53,6.568,6.46,6.503,54606178,355830702,518800,黄金ETF,gold
2025-02-12,6.464,6.468,6.437,6.46,40039500,258423686,518800,黄金ETF,gold
2025-02-13,6.485,6.507,6.481,6.492,38459700,249652738,518800,黄金ETF,gold
2025-02-14,6.519,6.527,6.509,6.524,26050650,169800516,518800,黄金ETF,gold
2025-02-17,6.403,6.43,6.393,6.419,42726900,273960405,518800,黄金ETF,gold
2025-02-18,6.424,6.482,6.42,6.475,31715000,204674443,518800,黄金ETF,gold
2025-02-19,6.512,6.545,6.503,6.52,36983000,241373393,518800,黄金ETF,gold
2025-02-20,6.538,6.54,6.518,6.537,30750900,200774756,518800,黄金ETF,gold
2025-02-21,6.529,6.529,6.466,6.49,44420200,288232783,518800,黄金ETF,gold
2025-02-24,6.466,6.506,6.466,6.5,46768800,303394597,518800,黄金ETF,gold
2025-02-25,6.531,6.535,6.496,6.501,28212600,183770523,518800,黄金ETF,gold
2025-02-26,6.485,6.485,6.437,6.442,30785800,198984288,518800,黄金ETF,gold
2025-02-27,6.45,6.465,6.406,6.419,32602280,209636496,518800,黄金ETF,gold
2025-02-28,6.399,6.415,6.361,6.367,27305400,174296575,518800,黄金ETF,gold
2025-03-03,6.368,6.38,6.358,6.376,30599200,194917197,518800,黄金ETF,gold
2025-03-04,6.414,6.43,6.409,6.42,19273500,123734360,518800,黄金ETF,gold
2025-03-05,6.448,6.475,6.439,6.473,30388700,196281830,518800,黄金ETF,gold
2025-03-06,6.468,6.468,5.826,6.455,21421200,138191455,518800,黄金ETF,gold
2025-03-07,6.433,6.45,6.426,6.446,16256900,104645458,518800,黄金ETF,gold
2025-03-10,6.46,6.466,6.449,6.464,26589103,171679096,518800,黄金ETF,gold
2025-03-11,6.422,6.432,6.41,6.429,27140100,174139012,518800,黄金ETF,gold
2025-03-12,6.44,6.455,6.435,6.447,12966700,83568271,518800,黄金ETF,gold
2025-03-13,6.493,6.504,6.491,6.496,19245000,125042052,518800,黄金ETF,gold
2025-03-14,6.617,6.617,6.58,6.589,31578500,208269810,518800,黄金ETF,gold
2025-03-17,6.59,6.597,6.577,6.596,19353600,127530929,518800,黄金ETF,gold
2025-03-18,6.61,6.649,6.61,6.645,31987900,212272519,518800,黄金ETF,gold
2025-03-19,6.678,6.724,6.673,6.715,40822880,273505131,518800,黄金ETF,gold
2025-03-20,6.746,6.75,6.72,6.73,34681740,233385491,518800,黄金ETF,gold
2025-03-21,6.73,6.73,6.68,6.693,45281600,303498765,518800,黄金ETF,gold
2025-03-24,6.694,6.7,6.678,6.696,33480100,223990145,518800,黄金ETF,gold
2025-03-25,6.674,6.695,6.67,6.689,19383800,129525440,518800,黄金ETF,gold
2025-03-26,6.699,6.716,6.692,6.715,28146000,188749453,518800,黄金ETF,gold
2025-03-27,6.72,6.734,6.709,6.728,20860000,140229488,518800,黄金ETF,gold
2025-03-28,6.812,6.853,6.812,6.85,37459550,256015923,518800,黄金ETF,gold
2025-03-31,6.855,6.95,6.855,6.926,47016700,324597415,518800,黄金ETF,gold
2025-04-01,6.97,7.015,6.959,6.977,50515500,353037303,518800,黄金ETF,gold
2025-04-02,6.988,7.002,6.933,6.945,42562700,296418456,518800,黄金ETF,gold
2025-04-03,7.045,7.1,6.985,7.014,61204700,431037114,518800,黄金ETF,gold
2025-04-07,6.847,6.937,6.674,6.791,82409600,562634754,518800,黄金ETF,gold
2025-04-08,6.783,6.842,6.769,6.836,39033900,265329805,518800,黄金ETF,gold
2025-04-09,6.819,6.935,6.802,6.924,53901450,369761109,518800,黄金ETF,gold
2025-04-10,6.998,7.076,6.99,7.068,55475700,390590338,518800,黄金ETF,gold
2025-04-11,7.247,7.247,7.137,7.183,55789150,401950070,518800,黄金ETF,gold
2025-04-14,7.202,7.265,7.202,7.238,41154845,298229700,518800,黄金ETF,gold
2025-04-15,7.239,7.248,7.228,7.237,29629400,214446596,518800,黄金ETF,gold
2025-04-16,7.356,7.42,7.332,7.414,52825418,389647198,518800,黄金ETF,gold
2025-04-17,7.587,7.587,7.456,7.475,69083100,517584577,518800,黄金ETF,gold
2025-04-18,7.475,7.498,7.447,7.491,30320400,226662568,518800,黄金ETF,gold
2025-04-21,7.585,7.636,7.584,7.634,47212612,358899999,518800,黄金ETF,gold
2025-04-22,7.749,7.928,7.749,7.887,109465794,859620565,518800,黄金ETF,gold
