date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-02-25,sz.300450,22.67,23.48,22.64,23.13,23.09,45045414,1042862530.66,3,2.8887,1,0.1732,609.474136,3.030703,2.885576,-2502.305556,300450.SZ,2025-02-25
2025-03-14,sz.300450,23.61,23.7,23.03,23.54,23.58,29610434,694422802.76,3,1.8989,1,-0.1696,620.277612,3.084425,2.936725,-2546.661167,300450.SZ,2025-03-14
2025-04-02,sz.300450,21.0,21.2,20.88,20.95,20.92,10164174,213600179.62,3,0.6518,1,0.1434,552.031265,2.74506,2.613611,-2266.463528,300450.SZ,2025-04-02
2025-04-14,sz.300450,19.02,19.15,18.67,18.69,18.65,13970462,264263654.08,3,0.8959,1,0.2145,492.480398,2.448934,2.331665,-2021.966746,300450.SZ,2025-04-14
2025-04-23,sz.300450,19.42,19.49,19.07,19.19,19.19,12966953,249245978.01,3,0.8316,1,0.0,505.655369,2.514449,2.394042,-2076.058955,300450.SZ,2025-04-23
2025-05-20,sz.300450,20.35,20.46,20.08,20.28,20.28,11396359,230901943.46,3,0.7308,1,0.0,365.699673,2.649781,2.728063,12.273888,300450.SZ,2025-05-20
2025-05-27,sz.300450,20.33,20.69,20.05,20.38,20.34,15472890,314536605.8,3,0.9922,1,0.1967,367.502926,2.662847,2.741515,12.33441,300450.SZ,2025-05-27
2025-06-05,sz.300450,20.04,20.08,19.82,20.02,20.05,14423521,287678350.61,3,0.9249,1,-0.1496,361.011215,2.61581,2.693088,12.11653,300450.SZ,2025-06-05
2025-06-06,sz.300450,20.0,20.53,19.92,20.0,20.02,21837792,441865172.56,3,1.4004,1,-0.0999,360.650565,2.613196,2.690397,12.104426,300450.SZ,2025-06-06
2025-06-20,sz.300450,22.63,23.15,22.48,22.52,22.53,38646045,878823091.41,3,2.4782,1,-0.0444,406.092536,2.942459,3.029387,13.629583,300450.SZ,2025-06-20
2025-06-26,sz.300450,24.88,25.74,24.74,24.93,24.94,78744443,1976964636.43,3,5.0496,1,-0.0401,449.550929,3.257349,3.35358,15.088167,300450.SZ,2025-06-26
2025-06-30,sz.300450,24.74,24.99,24.28,24.85,24.83,51736790,1273607710.0,3,3.3177,1,0.0805,448.108327,3.246897,3.342819,15.039749,300450.SZ,2025-06-30
2025-07-16,sz.300450,23.89,24.14,23.77,24.04,23.99,20907622,500588912.64,3,1.3407,1,0.2084,433.501979,3.141062,3.233858,14.54952,300450.SZ,2025-07-16
2025-07-21,sz.300450,25.25,25.34,24.81,25.22,25.23,31977240,802625754.3,3,2.0506,1,-0.0396,454.780362,3.295241,3.392591,15.263681,300450.SZ,2025-07-21
2025-07-28,sz.300450,26.36,27.06,25.98,26.55,26.52,37450164,996942252.71,3,2.4015,1,0.1131,478.763625,3.469018,3.571502,16.068625,300450.SZ,2025-07-28
2025-12-24,sz.300450,49.16,50.1,48.89,49.77,49.73,51075652,2530209456.72,3,3.2753,1,0.0804,90.223112,6.116821,5.913229,27.254669,300450.SZ,2025-12-24
2025-12-26,sz.300450,51.0,52.27,49.91,50.83,50.89,87423963,4453752761.32,3,5.6062,1,-0.1179,92.144681,6.247097,6.039169,27.835139,300450.SZ,2025-12-26
2026-01-07,sz.300450,55.01,57.29,54.56,55.09,55.0,100670655,5585066850.0,3,6.4557,1,0.1636,99.867214,6.770659,6.545304,30.167968,300450.SZ,2026-01-07
2026-01-16,sz.300450,61.1,61.3,59.23,60.4,60.35,93127248,5607617193.92,3,5.9719,1,0.0829,109.493188,7.423267,7.176191,33.075789,300450.SZ,2026-01-16
2026-01-19,sz.300450,60.0,62.22,58.38,60.28,60.4,86269195,5233026366.64,3,5.5322,1,-0.1987,109.275652,7.408519,7.161934,33.010076,300450.SZ,2026-01-19
