date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-03-17,sh.601865,20.28,20.7,20.04,20.28,20.28,14999805,305221410.45,3,0.7894,1,0.0,22.76938,2.179431,2.347221,-17.578334,601865.SH,2025-03-17
2025-04-21,sh.601865,15.25,15.25,15.04,15.22,15.19,7728029,117248826.93,3,0.4067,1,0.1975,35.42534,1.681479,1.908687,-36.849893,601865.SH,2025-04-21
2025-05-16,sh.601865,15.27,15.43,15.26,15.29,15.27,7864600,120587769.98,3,0.4139,1,0.131,101.5248,1.686953,2.10279,-62.473563,601865.SH,2025-05-16
2025-05-23,sh.601865,14.92,15.17,14.8,14.92,14.95,9969100,149601186.0,3,0.5247,1,-0.2007,99.068019,1.646131,2.051905,-60.961777,601865.SH,2025-05-23
2025-05-26,sh.601865,14.96,15.02,14.84,14.94,14.92,7623432,113676781.56,3,0.4012,1,0.134,99.200818,1.648338,2.054655,-61.043495,601865.SH,2025-05-26
2025-06-18,sh.601865,14.2,14.34,14.18,14.27,14.25,6854912,97727062.76,3,0.3608,1,0.1404,94.752053,1.574416,1.962512,-58.305935,601865.SH,2025-06-18
2025-07-10,sh.601865,17.1,17.5,16.96,17.17,17.14,36519164,629139219.21,3,1.9219,1,0.175,114.007901,1.894375,2.361341,-70.155074,601865.SH,2025-07-10
2025-08-13,sh.601865,16.48,16.74,16.38,16.48,16.47,13207274,217902032.92,3,0.695,1,0.0607,109.426338,1.818247,2.266447,-67.335796,601865.SH,2025-08-13
2025-08-19,sh.601865,16.6,16.85,16.44,16.68,16.66,23962006,398853308.36,3,1.261,1,0.12,110.754327,1.840313,2.293952,-68.152978,601865.SH,2025-08-19
2025-09-03,sh.601865,17.5,17.75,17.15,17.35,17.38,23017889,400775712.38,3,1.2108,1,-0.1726,-176.031262,1.902432,2.585259,-100.802198,601865.SH,2025-09-03
2025-09-15,sh.601865,18.45,18.78,18.39,18.51,18.5,15782653,292900094.2,3,0.8302,1,0.0541,-187.800501,2.029627,2.758106,-107.541712,601865.SH,2025-09-15
2025-09-19,sh.601865,17.76,17.95,17.46,17.77,17.76,22582309,400140861.12,3,1.1879,1,0.0563,-180.29254,1.948485,2.647841,-103.242367,601865.SH,2025-09-19
2025-09-29,sh.601865,17.04,17.3,16.85,17.05,17.05,17107527,291864083.62,3,0.8999,1,0.0,-172.987496,1.869537,2.540557,-99.059221,601865.SH,2025-09-29
2025-10-21,sh.601865,16.62,16.76,16.5,16.62,16.6,12906194,214543784.02,3,0.6789,1,0.1205,-168.624761,1.822388,2.476484,-96.560953,601865.SH,2025-10-21
2025-10-24,sh.601865,16.34,16.5,16.1,16.3,16.33,11738693,190948204.04,3,0.6175,1,-0.1837,-165.375252,1.787269,2.428761,-94.700161,601865.SH,2025-10-24
2025-12-15,sh.601865,15.4,15.75,15.23,15.57,15.57,27596350,429380311.94,3,1.4517,1,0.0,104.669642,1.680754,2.205172,-43.639759,601865.SH,2025-12-15
