date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-03-05,sh.600710,9.95,10.14,9.95,9.99,9.97,17666300.0,177075762.0,3,1.3519,1,0.2006,11.537388,1.741416,0.111312,-117.081856,sh.600710.SZ,2025-03-05
2025-04-17,sh.600710,8.98,9.04,8.85,8.87,8.88,12114793.0,107856422.51,3,0.9271,1,-0.1126,10.093469,1.548683,0.09892,9.339025,sh.600710.SZ,2025-04-17
2025-04-29,sh.600710,9.6,9.74,9.54,9.6,9.62,11013319.0,106325664.16,3,0.8428,1,-0.2079,10.685643,1.605079,0.105354,3.142294,sh.600710.SZ,2025-04-29
2025-05-13,sh.600710,9.85,9.96,9.69,9.7,9.68,13119620.0,128280206.6,3,1.004,1,0.2066,10.796951,1.621798,0.106451,3.175026,sh.600710.SZ,2025-05-13
2025-05-16,sh.600710,9.61,9.72,9.58,9.63,9.64,9989924.0,96226846.84,3,0.7645,1,-0.1037,10.719035,1.610095,0.105683,3.152114,sh.600710.SZ,2025-05-16
2025-05-21,sh.600710,9.63,9.71,9.57,9.64,9.65,7406799.0,71323515.95,3,0.5668,1,-0.1036,10.730166,1.611767,0.105793,3.155387,sh.600710.SZ,2025-05-21
2025-06-03,sh.600710,9.41,9.49,9.37,9.47,9.48,7912790.0,74561424.2,3,0.6055,1,-0.1055,10.540941,1.583343,0.103927,3.099742,sh.600710.SZ,2025-06-03
2025-06-05,sh.600710,9.7,9.81,9.66,9.72,9.7,9985242.0,97182491.7,3,0.7641,1,0.2062,10.819213,1.625142,0.106671,3.181573,sh.600710.SZ,2025-06-05
2025-06-10,sh.600710,9.74,9.77,9.61,9.71,9.72,9912328.0,96259506.66,3,0.7585,1,-0.1029,10.808082,1.62347,0.106561,3.1783,sh.600710.SZ,2025-06-10
2025-06-11,sh.600710,9.35,9.44,9.24,9.35,9.34,8985757.0,84084251.32,3,0.6876,1,0.1071,10.407371,1.56328,0.10261,3.060464,sh.600710.SZ,2025-06-11
2025-06-13,sh.600710,9.34,9.45,9.34,9.41,9.39,9425364.0,88532437.56,3,0.7213,1,0.213,10.474156,1.573311,0.103269,3.080103,sh.600710.SZ,2025-06-13
2025-06-17,sh.600710,9.29,9.33,9.2,9.3,9.29,7205977.0,66673207.54,3,0.5514,1,0.1076,10.351716,1.55492,0.102061,3.044098,sh.600710.SZ,2025-06-17
2025-06-18,sh.600710,9.26,9.4,9.26,9.32,9.3,7084132.0,66156278.5,3,0.5421,1,0.2151,10.373978,1.558264,0.102281,3.050644,sh.600710.SZ,2025-06-18
2025-07-10,sh.600710,9.58,9.59,9.49,9.57,9.59,9921108.0,94572595.24,3,0.7592,1,-0.2086,10.65225,1.600063,0.105025,3.132475,sh.600710.SZ,2025-07-10
2025-07-22,sh.600710,10.54,10.67,10.44,10.55,10.57,17417139.0,183844253.46,3,1.3329,1,-0.1892,11.265305,1.763915,0.118491,3.45325,sh.600710.SZ,2025-07-22
2025-07-23,sh.600710,10.49,10.73,10.43,10.54,10.55,17238650.0,182160028.0,3,1.3192,1,-0.0948,11.254627,1.762243,0.118379,3.449977,sh.600710.SZ,2025-07-23
2025-07-29,sh.600710,10.63,10.76,10.5,10.65,10.65,11563600.0,122315031.6,3,0.8849,1,0.0,11.372085,1.780634,0.119615,3.485983,sh.600710.SZ,2025-07-29
2025-08-18,sh.600710,10.99,11.07,10.8,10.97,10.95,12946554.0,141444820.36,3,0.9907,1,0.1826,11.713781,1.834137,0.123209,3.590726,sh.600710.SZ,2025-08-18
2025-08-27,sh.600710,11.08,11.29,11.02,11.05,11.05,17793296.0,198295915.6,3,1.3616,1,0.0,11.799206,1.847512,0.124107,3.616912,sh.600710.SZ,2025-08-27
2025-09-02,sh.600710,10.35,10.4,10.23,10.31,10.31,15515724.0,159984449.92,3,1.1874,1,0.0,11.036741,1.734035,0.115817,-17.975693,sh.600710.SZ,2025-09-02
2025-09-04,sh.600710,10.15,10.22,10.03,10.18,10.18,13586027.0,138002821.99,3,1.0397,1,0.0,10.897578,1.71217,0.114357,-17.749036,sh.600710.SZ,2025-09-04
2025-09-05,sh.600710,10.2,10.21,10.08,10.19,10.18,10111489.0,102800303.98,3,0.7738,1,0.0982,10.908283,1.713852,0.114469,-17.766471,sh.600710.SZ,2025-09-05
2025-09-08,sh.600710,10.22,10.23,10.07,10.19,10.19,16540369.0,167841502.13,3,1.2658,1,0.0,10.908283,1.713852,0.114469,-17.766471,sh.600710.SZ,2025-09-08
2025-09-10,sh.600710,10.1,10.2,10.06,10.08,10.1,9871261.0,99803094.09,3,0.7554,1,-0.198,10.790529,1.695351,0.113233,-17.574684,sh.600710.SZ,2025-09-10
2025-09-23,sh.600710,9.68,9.74,9.59,9.71,9.7,10706210.0,103545961.67,3,0.8193,1,0.1031,10.394448,1.633121,0.109077,-16.929581,sh.600710.SZ,2025-09-23
2025-10-23,sh.600710,10.16,10.21,10.09,10.17,10.19,7978100.0,81045614.0,3,0.6105,1,-0.1963,10.886873,1.710488,0.114244,-17.731601,sh.600710.SZ,2025-10-23
2025-11-13,sh.600710,10.95,10.99,10.87,10.94,10.93,13161400.0,143721097.0,3,1.0072,1,0.0915,11.446196,1.736941,0.121538,-11.096965,sh.600710.SZ,2025-11-13
2025-11-19,sh.600710,10.67,10.81,10.62,10.68,10.67,14870220.0,159286182.2,3,1.138,1,0.0937,11.174165,1.695661,0.118649,-10.833234,sh.600710.SZ,2025-11-19
2025-11-27,sh.600710,10.42,10.49,10.35,10.42,10.42,6858817.0,71676717.17,3,0.5249,1,0.0,10.902135,1.654381,0.115761,-10.569504,sh.600710.SZ,2025-11-27
2025-12-02,sh.600710,10.67,10.72,10.63,10.7,10.7,8535708.0,91180107.75,3,0.6532,1,0.0,11.195091,1.698836,0.118871,-10.853521,sh.600710.SZ,2025-12-02
2025-12-25,sh.600710,10.81,10.91,10.78,10.83,10.83,7051500.0,76417314.0,3,0.5396,1,0.0,11.331106,1.719476,0.120315,-10.985386,sh.600710.SZ,2025-12-25
2025-12-30,sh.600710,10.9,10.99,10.84,10.9,10.91,8338546.0,90840661.62,3,0.6381,1,-0.0917,11.404345,1.73059,0.121093,-11.056391,sh.600710.SZ,2025-12-30
2026-01-23,sh.600710,11.44,11.55,11.34,11.4,11.38,16081392.0,183818438.32,3,1.2306,1,0.1757,11.92748,1.809975,0.126648,-11.563565,sh.600710.SZ,2026-01-23
