date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-02-26,sz.300643,13.36,13.49,13.2,13.31,13.3,5463500,73091101.0,3,2.3731,1,0.0752,25.604724,2.787934,2.941705,24.601321,sz.300643.SZ,2025-02-26
2025-02-27,sz.300643,13.49,13.49,13.02,13.33,13.31,5658893,75057716.34,3,2.458,1,0.1503,25.643199,2.792123,2.946125,24.638288,sz.300643.SZ,2025-02-27
2025-03-10,sz.300643,14.83,15.22,14.45,15.06,15.07,22559508,333460986.16,3,9.7989,1,-0.0664,28.971236,3.154492,3.32848,27.835905,sz.300643.SZ,2025-03-10
2025-03-14,sz.300643,14.37,14.48,14.05,14.4,14.38,6967800,99585100.0,3,3.0265,1,0.1391,27.70158,3.016247,3.182611,26.616005,sz.300643.SZ,2025-03-14
2025-03-17,sz.300643,14.55,14.58,14.14,14.43,14.4,6287400,90295597.0,3,2.731,1,0.2083,27.759292,3.022531,3.189241,26.671455,sz.300643.SZ,2025-03-17
2025-04-25,sz.300643,15.77,16.08,15.4,15.71,15.69,10590000,167011445.0,3,4.6014,1,0.1275,27.158985,3.040627,3.380456,-198.673033,sz.300643.SZ,2025-04-25
2025-06-11,sz.300643,22.74,22.75,22.25,22.49,22.48,4978652,111808769.56,3,2.1632,1,0.0445,38.880049,4.352877,4.839367,-284.4148,sz.300643.SZ,2025-06-11
2025-06-20,sz.300643,20.75,21.14,20.15,20.85,20.88,7080000,146172036.0,3,3.0763,1,-0.1437,36.044866,4.035459,4.486474,-263.674904,sz.300643.SZ,2025-06-20
2025-07-03,sz.300643,21.29,21.29,20.89,21.02,21.02,2996800,63136672.0,3,1.3021,1,0.0,36.338757,4.068362,4.523054,-265.824771,sz.300643.SZ,2025-07-03
2025-07-10,sz.300643,19.23,19.4,19.06,19.27,19.28,3322100,63848572.0,3,1.4402,1,-0.0519,33.387659,3.737968,4.155734,-244.236943,sz.300643.SZ,2025-07-10
2025-07-18,sz.300643,23.17,23.36,22.8,23.2,23.25,5257224,121087446.44,3,2.2792,1,-0.2151,40.19687,4.500304,5.00327,-294.04759,sz.300643.SZ,2025-07-18
2025-09-08,sz.300643,23.28,23.6,22.89,23.12,23.11,6033290,139595631.2,3,2.6135,1,0.0433,33.865551,4.364223,4.738732,76.407845,sz.300643.SZ,2025-09-08
2025-09-10,sz.300643,22.74,23.24,22.64,22.76,22.79,4827300,110527549.0,3,2.0911,1,-0.1316,33.338232,4.296267,4.664945,75.218103,sz.300643.SZ,2025-09-10
2025-10-09,sz.300643,22.78,23.73,22.51,22.76,22.73,6480200,149859387.0,3,2.8071,1,0.132,33.338232,4.296267,4.664945,75.218103,sz.300643.SZ,2025-10-09
2025-11-13,sz.300643,19.51,19.69,19.37,19.56,19.6,3190100,62329933.0,3,1.3819,1,-0.2041,27.245876,3.575459,3.837827,55.635072,sz.300643.SZ,2025-11-13
2025-11-26,sz.300643,19.9,20.45,19.73,19.8,19.82,4707900,94383894.0,3,2.0394,1,-0.1009,27.580182,3.619329,3.884917,56.317711,sz.300643.SZ,2025-11-26
2025-12-08,sz.300643,19.25,19.27,18.95,19.17,19.18,4119800,78778653.0,3,1.7846,1,-0.0521,26.70263,3.504169,3.761306,54.525784,sz.300643.SZ,2025-12-08
2025-12-17,sz.300643,18.36,18.58,18.04,18.37,18.4,3246400,59252883.0,3,1.4063,1,-0.163,25.58828,3.357933,3.604339,52.250321,sz.300643.SZ,2025-12-17
2026-01-15,sz.300643,19.97,20.43,19.85,19.99,20.01,5167200,103324889.0,3,2.2383,1,-0.1,27.84484,3.65406,3.922196,56.858134,sz.300643.SZ,2026-01-15
2026-01-21,sz.300643,20.66,20.99,20.41,20.75,20.77,7944600,164348794.0,3,3.4414,1,-0.0963,28.903473,3.792984,4.071314,59.019824,sz.300643.SZ,2026-01-21
