date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2026-01-26,sz.300972,220.0000,228.3000,214.5700,222.6000,219.5000,3220691,712704719.2200,3,1.917200,1,1.412300,39.501915,20.593636,0.870939,21.859894,300972.SZ,2026-01-26
2026-01-27,sz.300972,226.0000,230.5000,219.0100,228.1200,222.6000,3122082,701182703.1500,3,1.858500,1,2.479800,40.481477,21.104313,0.892536,22.401972,300972.SZ,2026-01-27
2026-01-28,sz.300972,237.0000,240.8900,216.3600,217.5500,228.1200,4580095,1031929683.3100,3,2.726400,1,-4.633500,38.605757,20.126440,0.851181,21.363971,300972.SZ,2026-01-28
2026-01-29,sz.300972,209.6500,212.9000,201.5000,203.2500,217.5500,3796196,785680784.5300,3,2.259700,1,-6.573200,36.068123,18.803488,0.795231,19.959674,300972.SZ,2026-01-29
2026-01-30,sz.300972,205.0000,214.9700,201.4800,202.0300,203.2500,2980552,616396805.5600,3,1.774200,1,-0.600200,35.851625,18.690621,0.790457,19.839867,300972.SZ,2026-01-30
2026-02-02,sz.300972,201.8400,204.4900,191.5500,194.4500,202.0300,2860039,563578641.3700,3,1.702500,1,-3.751900,34.506502,17.989364,0.760800,19.095491,300972.SZ,2026-02-02
2026-02-03,sz.300972,194.9600,199.1400,189.5000,195.0000,194.4500,3180687,614463550.0100,3,1.893300,1,0.282800,34.604103,18.040247,0.762952,19.149503,300972.SZ,2026-02-03
2026-02-04,sz.300972,195.0000,212.5200,192.0000,209.3000,195.0000,3630460,739116247.6700,3,2.161100,1,7.333300,37.141737,19.363198,0.818902,20.553800,300972.SZ,2026-02-04
2026-02-05,sz.300972,209.4700,216.8900,204.1200,213.5700,209.3000,2389878,507981762.0000,3,1.422600,1,2.040100,37.899478,19.758233,0.835609,20.973125,300972.SZ,2026-02-05
2026-02-06,sz.300972,212.4100,215.3500,206.2600,207.6000,213.5700,2149965,451368245.6400,3,1.279800,1,-2.795300,36.840060,19.205924,0.812250,20.386855,300972.SZ,2026-02-06
2026-02-09,sz.300972,208.0000,219.0000,206.3600,213.9700,207.6000,2414230,515088127.6900,3,1.437100,1,3.068400,37.970461,19.795239,0.837174,21.012406,300972.SZ,2026-02-09
2026-02-10,sz.300972,213.8900,213.9000,207.4000,212.4100,213.9700,1335778,281566498.7200,3,0.772500,1,-0.729100,37.693628,19.650917,0.831070,20.859210,300972.SZ,2026-02-10
2026-02-11,sz.300972,212.3700,215.7900,207.5000,208.5000,212.4100,1535981,324160740.9500,3,0.876100,1,-1.840800,37.470265,19.534470,0.826145,20.735603,300972.SZ,2026-02-11
2026-02-12,sz.300972,208.2000,213.2900,205.2400,206.1900,208.5000,1318366,273795591.5400,3,0.752000,1,-1.107900,37.055126,19.318045,0.816992,20.505870,300972.SZ,2026-02-12
2026-02-13,sz.300972,206.0000,213.0000,205.6600,208.0000,206.1900,1231712,257915701.8800,3,0.702500,1,0.877800,37.380408,19.487625,0.824164,20.685877,300972.SZ,2026-02-13
2026-02-24,sz.300972,209.8200,216.2800,205.6100,206.0000,208.0000,1811000,380013932.3600,3,1.033000,1,-0.961500,37.020981,19.300244,0.816239,20.486975,300972.SZ,2026-02-24
2026-02-25,sz.300972,207.0000,208.9000,200.0000,203.4900,206.0000,1837725,372698013.5200,3,1.048200,1,-1.218400,36.569900,19.065081,0.806294,20.237352,300972.SZ,2026-02-25
