date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-02-25,sh.600642,8.7400,8.9000,8.6700,8.7100,8.7400,25694330,225825767.3100,3,0.526600,1,-0.343200,10.063037,1.218209,1.438905,19.909867,600642.SH,2025-02-25
2025-02-26,sh.600642,8.7200,8.8000,8.6600,8.7200,8.7100,15995625,139518160.5000,3,0.327800,1,0.114800,10.074591,1.219608,1.440557,19.932725,600642.SH,2025-02-26
2025-02-27,sh.600642,8.7100,8.8400,8.6400,8.8200,8.7200,18631636,163104667.1000,3,0.381900,1,1.146800,10.190125,1.233594,1.457077,20.161312,600642.SH,2025-02-27
2025-02-28,sh.600642,8.8000,9.0000,8.7900,8.9100,8.8200,23486044,209343478.8200,3,0.481400,1,1.020400,10.294106,1.246182,1.471945,20.367039,600642.SH,2025-02-28
2025-03-03,sh.600642,8.9100,8.9400,8.7600,8.9000,8.9100,20992332,185861912.0800,3,0.430300,1,-0.112200,10.282552,1.244783,1.470293,20.344181,600642.SH,2025-03-03
2025-03-04,sh.600642,8.8500,8.9300,8.7900,8.8200,8.9000,13813957,122118781.0100,3,0.283100,1,-0.898900,10.190125,1.233594,1.457077,20.161312,600642.SH,2025-03-04
2025-03-05,sh.600642,8.8500,8.8800,8.7700,8.8400,8.8200,11078709,97876163.6300,3,0.227100,1,0.226800,10.213232,1.236391,1.460381,20.207029,600642.SH,2025-03-05
2025-03-06,sh.600642,8.8500,8.8500,8.7000,8.7200,8.8400,24132684,210827286.4900,3,0.494600,1,-1.357500,10.074591,1.219608,1.440557,19.932725,600642.SH,2025-03-06
2025-03-07,sh.600642,8.7200,8.8000,8.6900,8.7400,8.7200,15118608,132236646.2600,3,0.309900,1,0.229400,10.097698,1.222405,1.443861,19.978443,600642.SH,2025-03-07
2025-03-10,sh.600642,8.7300,8.7500,8.6300,8.7100,8.7400,14747071,128001708.5200,3,0.302300,1,-0.343200,10.063037,1.218209,1.438905,19.909867,600642.SH,2025-03-10
2025-03-11,sh.600642,8.6800,8.7700,8.6500,8.7700,8.7100,13884444,121077359.6000,3,0.284600,1,0.688900,10.132358,1.226601,1.448817,20.047019,600642.SH,2025-03-11
2025-03-12,sh.600642,8.7500,8.9300,8.7300,8.9100,8.7700,24022219,212798582.7500,3,0.492400,1,1.596400,10.294106,1.246182,1.471945,20.367039,600642.SH,2025-03-12
2025-03-13,sh.600642,8.9400,9.2500,8.9200,9.2300,8.9100,32360348,294844419.6200,3,0.663300,1,3.591500,10.663816,1.290938,1.524810,21.098516,600642.SH,2025-03-13
2025-03-14,sh.600642,9.2300,9.3700,9.1900,9.2500,9.2300,25925610,240057176.8300,3,0.531400,1,0.216700,10.686922,1.293735,1.528114,21.144233,600642.SH,2025-03-14
2025-03-17,sh.600642,9.2400,9.2800,9.0600,9.0700,9.2500,21437468,196420925.4800,3,0.439400,1,-1.945900,10.478961,1.268560,1.498378,20.732777,600642.SH,2025-03-17
2025-03-18,sh.600642,9.1100,9.1300,8.8300,8.8700,9.0700,31588801,280866608.5100,3,0.647400,1,-2.205100,10.247892,1.240587,1.465337,20.275605,600642.SH,2025-03-18
2025-03-19,sh.600642,8.8800,9.0000,8.8400,8.9600,8.8700,22722486,203108748.1700,3,0.465700,1,1.014700,10.351873,1.253175,1.480205,20.481333,600642.SH,2025-03-19
2025-03-20,sh.600642,8.9500,8.9800,8.8000,8.8200,8.9600,18501795,164060476.2200,3,0.379200,1,-1.562500,10.190125,1.233594,1.457077,20.161312,600642.SH,2025-03-20
2025-03-21,sh.600642,8.8000,8.8600,8.6600,8.7100,8.8200,29201936,255373142.3100,3,0.598500,1,-1.247200,10.063037,1.218209,1.438905,19.909867,600642.SH,2025-03-21
2025-03-24,sh.600642,8.7100,8.8100,8.6800,8.7900,8.7100,22139779,193858093.1300,3,0.453800,1,0.918500,10.155465,1.229398,1.452121,20.092736,600642.SH,2025-03-24
2025-03-25,sh.600642,8.7900,8.9300,8.7400,8.8800,8.7900,27857005,246535602.5800,3,0.571000,1,1.023900,10.259446,1.241986,1.466989,20.298463,600642.SH,2025-03-25
2025-03-26,sh.600642,8.9000,8.9000,8.7000,8.7200,8.8800,29323520,256236567.0800,3,0.601000,1,-1.801800,10.074591,1.219608,1.440557,19.932725,600642.SH,2025-03-26
2025-03-27,sh.600642,8.7300,8.7600,8.6300,8.6300,8.7200,19717411,171139225.9400,3,0.404100,1,-1.032100,9.970610,1.207020,1.425689,19.726998,600642.SH,2025-03-27
2025-03-28,sh.600642,8.6400,8.7200,8.6000,8.6700,8.6300,13406481,116207653.6300,3,0.274800,1,0.463500,10.016823,1.212615,1.432297,19.818432,600642.SH,2025-03-28
