date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2026-01-05,sh.515550,1.6600,1.6900,1.6600,1.6870,1.6600,236700,397106.0000,3,2.287907,1,1.626500,,,,,sh.515550.SZ,2026-01-05
2026-01-06,sh.515550,1.6920,1.8000,1.6920,1.7280,1.6870,1889400,3286666.0000,3,18.262660,1,2.430300,,,,,sh.515550.SZ,2026-01-06
2026-01-07,sh.515550,1.7280,1.7530,1.7280,1.7420,1.7280,1987700,3468803.0000,3,16.100343,1,0.810200,,,,,sh.515550.SZ,2026-01-07
2026-01-08,sh.515550,1.7400,1.7620,1.7380,1.7420,1.7420,811400,1418976.0000,3,7.151608,1,0.000000,,,,,sh.515550.SZ,2026-01-08
2026-01-09,sh.515550,1.7420,1.8190,1.7420,1.7900,1.7420,1639700,2922013.0000,3,15.849097,1,2.755500,,,,,sh.515550.SZ,2026-01-09
2026-01-12,sh.515550,1.7900,1.8680,1.7790,1.8600,1.7900,396300,719161.0000,3,3.492953,1,3.910600,,,,,sh.515550.SZ,2026-01-12
2026-01-13,sh.515550,1.8600,1.8950,1.8090,1.8340,1.8600,303700,558444.0000,3,2.676785,1,-1.397800,,,,,sh.515550.SZ,2026-01-13
2026-01-14,sh.515550,1.8280,1.8620,1.8280,1.8420,1.8340,708100,1303692.0000,3,6.241131,1,0.436200,,,,,sh.515550.SZ,2026-01-14
2026-01-15,sh.515550,1.8240,1.8730,1.8110,1.8300,1.8420,514900,938321.0000,3,4.538283,1,-0.651500,,,,,sh.515550.SZ,2026-01-15
2026-01-16,sh.515550,1.8150,1.8440,1.8150,1.8220,1.8300,483200,882047.0000,3,4.258882,1,-0.437200,,,,,sh.515550.SZ,2026-01-16
2026-01-19,sh.515550,1.8220,1.8370,1.8190,1.8310,1.8220,105900,193905.0000,3,1.023614,1,0.494000,,,,,sh.515550.SZ,2026-01-19
2026-01-20,sh.515550,1.8300,1.8300,1.8010,1.8250,1.8310,175600,318795.0000,3,1.697324,1,-0.327700,,,,,sh.515550.SZ,2026-01-20
2026-01-21,sh.515550,1.8080,1.8400,1.8080,1.8330,1.8250,127200,232727.0000,3,1.229496,1,0.438400,,,,,sh.515550.SZ,2026-01-21
2026-01-22,sh.515550,1.8400,1.8550,1.8400,1.8510,1.8330,298400,551912.0000,3,2.884290,1,0.982000,,,,,sh.515550.SZ,2026-01-22
2026-01-23,sh.515550,1.8780,1.8900,1.8590,1.8880,1.8510,337500,633746.0000,3,3.262225,1,1.998900,,,,,sh.515550.SZ,2026-01-23
2026-01-26,sh.515550,1.8900,1.9250,1.8730,1.8810,1.8880,123700,233703.0000,3,1.195666,1,-0.370800,,,,,sh.515550.SZ,2026-01-26
