date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,ts_code,trade_date
2025-02-25,sz.300378,38.8600,39.4800,38.0000,38.6500,39.8400,19444294,755402950.6600,3,7.211900,1,-2.986900,69.326080,5.038138,4.395551,-33.453162,sz.300378.SZ,2025-02-25
2025-02-26,sz.300378,38.8000,39.3000,37.8200,39.0200,38.6500,18166590,702781993.5000,3,6.738000,1,0.957300,69.989744,5.086369,4.437630,-33.773412,sz.300378.SZ,2025-02-26
2025-02-27,sz.300378,38.7900,39.5000,35.9800,36.7600,39.0200,24259034,907540423.3200,3,8.997700,1,-5.791900,65.936007,4.791771,4.180607,-31.817290,sz.300378.SZ,2025-02-27
2025-02-28,sz.300378,36.5000,36.9800,33.9700,34.0600,36.7600,18013555,634059533.5400,3,6.681300,1,-7.344900,61.093047,4.439819,3.873544,-29.480329,sz.300378.SZ,2025-02-28
2025-03-03,sz.300378,38.2500,39.0600,35.8800,36.2200,34.0600,35442147,1320436785.0000,3,13.145600,1,6.341700,64.967415,4.721381,4.119194,-31.349897,sz.300378.SZ,2025-03-03
2025-03-04,sz.300378,34.6800,37.8000,34.6800,36.9600,36.2200,24833217,912045802.5000,3,9.210700,1,2.043100,66.294745,4.817842,4.203352,-31.990398,sz.300378.SZ,2025-03-04
2025-03-05,sz.300378,36.3600,37.6000,35.9300,37.1500,36.9600,19089400,700617147.4600,3,7.080300,1,0.514100,66.635546,4.842609,4.224960,-32.154851,sz.300378.SZ,2025-03-05
2025-03-06,sz.300378,41.8200,44.5800,40.5000,44.5800,37.1500,46438023,1982204712.0200,3,17.224000,1,20.000000,79.962655,5.811131,5.069953,-38.585821,sz.300378.SZ,2025-03-06
2025-03-07,sz.300378,45.5000,48.5600,41.8100,42.9300,44.5800,69172410,3168525023.7100,3,25.656200,1,-3.701200,77.003068,5.596049,4.882303,-37.157678,sz.300378.SZ,2025-03-07
2025-03-10,sz.300378,42.0000,42.4900,39.2600,39.6200,42.9300,35479648,1425218932.5400,3,13.159500,1,-7.710200,71.065958,5.164581,4.505866,-34.292737,sz.300378.SZ,2025-03-10
2025-03-11,sz.300378,38.8100,39.8600,38.7600,39.3700,39.6200,19615124,769333373.9200,3,7.275300,1,-0.631000,70.617536,5.131992,4.477435,-34.076352,sz.300378.SZ,2025-03-11
2025-03-12,sz.300378,40.2400,40.8800,39.5200,39.5700,39.3700,24017310,963247300.9800,3,8.908100,1,0.508000,70.976273,5.158063,4.500180,-34.249460,sz.300378.SZ,2025-03-12
2025-03-13,sz.300378,39.4500,39.4500,37.3000,38.3800,39.5700,23163150,884643383.5000,3,8.591300,1,-3.007300,68.841784,5.002943,4.364845,-33.219466,sz.300378.SZ,2025-03-13
2025-03-14,sz.300378,38.1100,38.7800,37.4300,38.3600,38.3800,15092836,576445400.3400,3,5.598000,1,-0.052100,68.805910,5.000336,4.362570,-33.202155,sz.300378.SZ,2025-03-14
2025-03-17,sz.300378,38.2300,38.4900,37.5800,37.6800,38.3600,11057567,418898099.9800,3,4.101300,1,-1.772700,67.586201,4.911696,4.285236,-32.613587,sz.300378.SZ,2025-03-17
2025-03-18,sz.300378,38.0000,38.8700,37.7100,38.1000,37.6800,13375230,511622885.1800,3,4.960900,1,1.114600,68.339551,4.966444,4.333001,-32.977115,sz.300378.SZ,2025-03-18
2025-03-19,sz.300378,37.8100,37.9900,37.0100,37.1000,38.1000,11631521,434089167.1000,3,4.314200,1,-2.624700,66.545862,4.836091,4.219274,-32.111573,sz.300378.SZ,2025-03-19
2025-03-20,sz.300378,37.1000,38.2500,36.6600,37.7500,37.1000,14011597,528895080.1500,3,5.196900,1,1.752000,67.711759,4.920821,4.293197,-32.674175,sz.300378.SZ,2025-03-20
2025-03-21,sz.300378,37.2100,37.9700,35.6600,35.7100,37.7500,13178300,481703799.7100,3,4.887900,1,-5.404000,64.052634,4.654901,4.061193,-30.908471,sz.300378.SZ,2025-03-21
2025-03-24,sz.300378,35.6500,36.4400,33.6700,34.6800,35.7100,17008580,591462750.2000,3,6.308500,1,-2.884300,62.205134,4.520637,3.944055,-30.016964,sz.300378.SZ,2025-03-24
2025-03-25,sz.300378,34.5300,36.1500,34.5100,35.2200,34.6800,15928286,564094818.5300,3,5.907800,1,1.557100,63.173726,4.591028,4.005467,-30.484356,sz.300378.SZ,2025-03-25
2025-03-26,sz.300378,35.4400,38.0900,35.2300,37.6500,35.2200,23951022,891862087.7400,3,8.883500,1,6.899500,67.532391,4.907785,4.281824,-32.587621,sz.300378.SZ,2025-03-26
2025-03-27,sz.300378,37.4400,38.5000,36.3200,37.3600,37.6500,20833900,779601230.5700,3,7.727400,1,-0.770300,67.012221,4.869983,4.248843,-32.336614,sz.300378.SZ,2025-03-27
