ts_code,tradeStatus,name
sh.000001.SZ,1,上证综合指数
sh.000002.SZ,1,上证A股指数
sh.000003.SZ,1,上证B股指数
sh.000004.SZ,1,上证工业类指数
sh.000005.SZ,1,上证商业类指数
sh.000006.SZ,1,上证房地产指数
sh.000007.SZ,1,上证公用事业指数
sh.000008.SZ,1,上证综合业类指数
sh.000009.SZ,1,上证380
sh.000010.SZ,1,上证180指数
sh.000011.SZ,1,上证基金指数
sh.000012.SZ,1,上证国债指数
sh.000013.SZ,1,上证企业债指数
sh.000015.SZ,1,上证红利指数
sh.000016.SZ,1,上证50指数
sh.000017.SZ,1,新上证综指
sh.000018.SZ,1,上证180金融股指数
sh.000019.SZ,1,上证公司治理指数
sh.000020.SZ,1,上证中型企业综合指数
sh.000021.SZ,1,上证180公司治理指数
sh.000022.SZ,1,沪公司债
sh.000025.SZ,1,上证180基建指数
sh.000026.SZ,1,上证180资源指数
sh.000027.SZ,1,上证180交通运输指数
sh.000028.SZ,1,上证180成长指数
sh.000029.SZ,1,上证180价值指数
sh.000030.SZ,1,上证180相对成长指数
sh.000031.SZ,1,上证180相对价值指数
sh.000032.SZ,1,上证能源行业指数
sh.000033.SZ,1,上证原材料行业指数
sh.000034.SZ,1,上证工业行业指数
sh.000035.SZ,1,上证可选消费行业指数
sh.000036.SZ,1,上证主要消费行业指数
sh.000037.SZ,1,上证医药卫生行业指数
sh.000038.SZ,1,上证金融地产行业指数
sh.000039.SZ,1,上证信息技术行业指数
sh.000040.SZ,1,上证电信业务行业指数
sh.000041.SZ,1,上证公用事业行业指数
sh.000042.SZ,1,上证中央企业50指数
sh.000043.SZ,1,上证超级大盘指数
sh.000044.SZ,1,上证中盘
sh.000045.SZ,1,上证小盘
sh.000046.SZ,1,上证中小
sh.000047.SZ,1,上证全指
sh.000048.SZ,1,责任指数
sh.000049.SZ,1,上证民企
sh.000050.SZ,1,50等权
sh.000051.SZ,1,180等权
sh.000052.SZ,1,50基本
sh.000053.SZ,1,180基本
sh.000054.SZ,1,上证海外
sh.000056.SZ,1,上证国企
sh.000057.SZ,1,全指成长
sh.000058.SZ,1,全指价值
sh.000059.SZ,1,全R成长
sh.000060.SZ,1,全R价值
sh.000061.SZ,1,沪企债30
sh.000062.SZ,1,上证沪企
sh.000063.SZ,1,上证周期
sh.000064.SZ,1,非周期
sh.000065.SZ,1,上证龙头
sh.000066.SZ,1,上证商品
sh.000067.SZ,1,上证新兴
sh.000068.SZ,1,上证资源
sh.000069.SZ,1,消费80
sh.000070.SZ,1,能源等权
sh.000071.SZ,1,材料等权
sh.000072.SZ,1,工业等权
sh.000073.SZ,1,可选等权
sh.000074.SZ,1,消费等权
sh.000075.SZ,1,医药等权
sh.000076.SZ,1,金融等权
sh.000077.SZ,1,信息等权
sh.000078.SZ,1,电信等权
sh.000079.SZ,1,公用等权
sh.000090.SZ,1,上证流通
sh.000091.SZ,1,沪财中小
sh.000092.SZ,1,资源50
sh.000093.SZ,1,180分层
sh.000094.SZ,1,上证上游
sh.000095.SZ,1,上证中游
sh.000096.SZ,1,上证下游
sh.000097.SZ,1,高端装备
sh.000098.SZ,1,上证F200
sh.000099.SZ,1,上证F300
sh.000100.SZ,1,上证F500
sh.000101.SZ,1,上证5年期信用债指数
sh.000102.SZ,1,沪投资品
sh.000103.SZ,1,沪消费品
sh.000104.SZ,1,380能源
sh.000105.SZ,1,380材料
sh.000106.SZ,1,380工业
sh.000107.SZ,1,380可选
sh.000108.SZ,1,380消费
sh.000109.SZ,1,380医药
sh.000110.SZ,1,380金融
sh.000111.SZ,1,380信息
sh.000112.SZ,1,380电信
sh.000113.SZ,1,380公用
sh.000114.SZ,1,持续产业
sh.000115.SZ,1,380等权
sh.000116.SZ,1,上证信用债100指数
sh.000117.SZ,1,380成长
sh.000118.SZ,1,380价值
sh.000119.SZ,1,380R成长
sh.000120.SZ,1,380R价值
sh.000121.SZ,1,医药主题
sh.000122.SZ,1,上证农业主题指数
sh.000123.SZ,1,上证180动态指数
sh.000125.SZ,1,上证180稳定指数
sh.000126.SZ,1,消费50
sh.000128.SZ,1,380基本
sh.000129.SZ,1,180波动
sh.000130.SZ,1,380波动
sh.000131.SZ,1,上证高新
sh.000132.SZ,1,上证100
sh.000133.SZ,1,上证150
sh.000134.SZ,1,上证银行股指数
sh.000135.SZ,1,上证180高贝塔指数
sh.000136.SZ,1,上证180低贝塔指数
sh.000137.SZ,1,上证380高贝塔指数
sh.000138.SZ,1,上证380低贝塔指数
sh.000139.SZ,1,上证可转换债券指数
sh.000141.SZ,1,上证380动态指数
sh.000142.SZ,1,上证380稳定指数
sh.000145.SZ,1,上证优势资源产业指数
sh.000146.SZ,1,上证优势制造产业指数
sh.000147.SZ,1,上证优势消费产业指数
sh.000148.SZ,1,上证消费服务领先指数
sh.000149.SZ,1,上证180红利指数
sh.000150.SZ,1,上证380红利指数
sh.000151.SZ,1,上证国有企业红利指数
sh.000152.SZ,1,上证中央企业红利指数
sh.000153.SZ,1,上证民营企业红利指数
sh.000155.SZ,1,上证市值百强指数
sh.000158.SZ,1,上证环保产业指数
sh.000159.SZ,1,上证沪股通指数
sh.000160.SZ,1,上证一带一路主题指数
sh.000161.SZ,1,上证中国制造主题指数
sh.000162.SZ,1,上证互联网+主题指数
sh.000300.SZ,1,沪深300指数
sh.000802.SZ,1,500沪市
sh.000805.SZ,1,A股资源
sh.000806.SZ,1,消费服务
sh.000807.SZ,1,食品饮料
sh.000808.SZ,1,医药生物
sh.000814.SZ,1,细分医药
sh.000819.SZ,1,有色金属
sh.000821.SZ,1,沪深300红利指数
sh.000823.SZ,1,中证800有色
sh.000827.SZ,1,中证环保产业指数
sh.000828.SZ,1,沪深300高贝塔指数
sh.000832.SZ,1,中证可转换债券指数
sh.000841.SZ,1,中证800制药与生物科技指数
sh.000846.SZ,1,中证财通中国可持续发展100(ECPIESG)指数
sh.000847.SZ,1,中证腾讯济安价值100A股指数
sh.000849.SZ,1,沪深300非银行金融指数
sh.000851.SZ,1,百发100指数
sh.000852.SZ,1,中证1000指数
sh.000853.SZ,1,中证申万一带一路主题投资指数
sh.000854.SZ,1,中证500原材料指数
sh.000855.SZ,1,央视财经500指数
sh.000856.SZ,1,中证500工业指数
sh.000857.SZ,1,中证500医药卫生指数
sh.000858.SZ,1,中证500信息技术指数
sh.000901.SZ,1,中证南方小康产业指数
sh.000903.SZ,1,中证A100指数
sh.000904.SZ,1,中证200指数
sh.000905.SZ,1,中证500指数
sh.000906.SZ,1,中证800指数
sh.000908.SZ,1,沪深300能源指数
sh.000909.SZ,1,沪深300原材料指数
sh.000910.SZ,1,沪深300工业指数
sh.000911.SZ,1,沪深300可选消费指数
sh.000912.SZ,1,沪深300主要消费指数
sh.000913.SZ,1,沪深300医药卫生指数
sh.000914.SZ,1,沪深300金融地产指数
sh.000917.SZ,1,沪深300公用事业指数
sh.000918.SZ,1,沪深300成长指数
sh.000919.SZ,1,沪深300价值指数
sh.000922.SZ,1,中证红利指数
sh.000925.SZ,1,中证锐联基本面50指数
sh.000928.SZ,1,中证能源指数
sh.000931.SZ,1,中证可选消费指数
sh.000932.SZ,1,中证主要消费指数
sh.000933.SZ,1,中证医药卫生指数
sh.000934.SZ,1,中证金融地产指数
sh.000935.SZ,1,中证信息技术指数
sh.000944.SZ,1,中证内地资源主题指数
sh.000952.SZ,1,沪深300房地产指数
sh.000959.SZ,1,银河99
sh.000961.SZ,1,中证上游资源产业指数
sh.000964.SZ,1,中证新兴产业指数
sh.000966.SZ,1,中证锐联基本面400指数
sh.000969.SZ,1,沪深300非周期行业指数
sh.000971.SZ,1,等权90
sh.000974.SZ,1,中证800金融指数
sh.000977.SZ,1,中证内地低碳经济主题指数
sh.000978.SZ,1,中证医药100指数
sh.000979.SZ,1,中证大宗商品股票指数
sh.000982.SZ,1,中证500等权重指数
sh.000984.SZ,1,沪深300等权重指数
sh.000986.SZ,1,中证全指能源指数
sh.000987.SZ,1,中证全指原材料指数
sh.000989.SZ,1,中证全指可选消费指数
sh.000990.SZ,1,中证全指主要消费指数
sh.000991.SZ,1,中证全指医药卫生指数
sh.000992.SZ,1,中证全指金融地产指数
sh.000993.SZ,1,中证全指信息技术指数
sh.000998.SZ,1,中证TMT产业主题指数
sh.510010.SZ,1,交银上证180公司治理ETF
sh.510020.SZ,1,博时上证超大盘ETF
sh.510030.SZ,1,上证180价值ETF
sh.510040.SZ,1,鹏华上证180ETF
sh.510050.SZ,1,华夏上证50ETF
sh.510060.SZ,1,工银上证央企ETF
sh.510090.SZ,1,建信上证社会责任ETF
sh.510100.SZ,1,易方达上证50ETF
sh.510130.SZ,1,易方达上证中盘ETF
sh.510150.SZ,1,招商上证消费80ETF
sh.510160.SZ,1,中证南方小康产业指数ETF
sh.510170.SZ,1,国联安上证商品ETF
sh.510180.SZ,1,华安上证180ETF
sh.510190.SZ,1,华安上证50ETF
sh.510200.SZ,1,汇安上证证券ETF
sh.510210.SZ,1,上证综指ETF
sh.510230.SZ,1,国泰上证180金融ETF
sh.510270.SZ,1,中银上证国企100ETF
sh.510290.SZ,1,南方上证380ETF
sh.510300.SZ,1,华泰柏瑞沪深300ETF
sh.510310.SZ,1,易方达沪深300ETF
sh.510320.SZ,1,中金沪深300ETF
sh.510330.SZ,1,华夏沪深300ETF
sh.510350.SZ,1,工银沪深300ETF
sh.510360.SZ,1,广发沪深300ETF
sh.510370.SZ,1,兴业沪深300ETF
sh.510380.SZ,1,国寿安保沪深300ETF
sh.510390.SZ,1,平安沪深300ETF
sh.510410.SZ,1,博时上证自然资源ETF
sh.510500.SZ,1,南方中证500ETF
sh.510510.SZ,1,广发中证500ETF
sh.510530.SZ,1,工银中证500ETF
sh.510550.SZ,1,方正富邦中证500ETF
sh.510560.SZ,1,国寿安保中证500ETF
sh.510570.SZ,1,兴业中证500ETF
