factor,ic
adv_alpha_20,0.29619676596543926
adv_calmar_20,0.1672178707653629
adv_sharpe_20,0.16077093409338303
adv_sortino_20,0.15882823530377146
adv_percentile,0.11405244115103906
fz_vp_momentum_ratio,0.09854697471239826
adv_information_ratio,0.09631171093446225
dh_mf_net_flow_5,0.07644187413609646
dh_mf_inflow_ratio,0.05368839529825209
fz_vp_cumulative,0.04881383565443588
ct_vol_skew_10,0.03742266348565606
dh_mf_flow_volatility,0.033431983298978056
fz_vp_acceleration,0.026968668802497018
adv_price_skew_20,0.022424409700617463
adv_skew_product,0.02151812503914318
dh_mf_flow_strength,0.01851561774560798
fz_vp_trend_strength,0.01851561774560798
ct_vol_yz_10,0.01808395175306506
ct_vol_parkinson_10,0.016541260553101858
fz_vp_relative_strength,0.01634488890139579
ct_vol_gk_10,0.01611396989697747
dh_mf_flow_trend,0.014797068021845562
ct_vol_relative_20,0.009422655389473835
ct_vol_historical_20,0.009422655389473835
adv_ad_20,0.008918852387756514
fz_vp_corr_10,0.00886197786748826
ct_vol_kurt_10,0.007801596376065665
dh_mf_main_flow,0.006833246569478366
adv_autocorr_5,0.006151354085627679
adv_jb_20,0.006001590802213234
fz_vp_cyclical,0.004657073533334507
fz_vp_energy,0.0035179327147830826
adv_kurt_product,0.003305681911802683
ct_vol_realized_10,0.0009966141883571854
adv_fractal_dim_20,0.0006275558591540018
adv_ks_20,-1.9534353239144993e-05
ct_vol_trend_20,-0.001222776913820444
adv_price_kurt_20,-0.0025376563040245157
dh_mf_flow_acceleration,-0.002637710821413428
dh_mf_retail_flow,-0.0027312903598853307
fz_vp_volatility_ratio,-0.004958221955515593
adv_lyapunov_20,-0.010087937224160817
adv_entropy_20,-0.011753164011629269
ct_vol_percentile_60,-0.016417480095326367
fz_vp_deviation,-0.019062852691589756
fz_vp_divergence,-0.022725919934919996
dh_mf_outflow_ratio,-0.05474014595847878
adv_beta_20,-0.0813082858005601
dh_mf_relative_strength,
adv_hurst_20,
